# Kick = [    0.000000000000e+00,     1.000000000000e-05,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
          0.00000000       8.57677054e-15    -1.205309640486e-03     1.944589406513e-03     3.560894497237e-03
          1.24024120      -2.54444483e-15    -1.205326822497e-03     2.046031859010e-03     3.560923577229e-03
          2.48048240       4.56641202e-15    -1.205348366694e-03     2.140893813990e-03     3.560939514450e-03
          3.72072360      -1.21485797e-14    -1.205409439294e-03     2.230478400438e-03     3.560945584031e-03
          4.96096480       1.63902324e-14    -1.205513336400e-03     2.314897967548e-03     3.561007797233e-03
          6.20120600       1.81830532e-15    -1.205664914179e-03     2.391716794869e-03     3.561215227090e-03
          7.44144720      -5.27451383e-15    -1.205837505554e-03     2.459781164830e-03     3.561662517037e-03
          8.68168840      -2.71961196e-15    -1.206032696532e-03     2.518298264296e-03     3.562332216986e-03
          9.92192960       1.95204047e-14    -1.206246734107e-03     2.565646931481e-03     3.563189758465e-03
         11.16217080       7.29619554e-15    -1.206476370779e-03     2.601263323878e-03     3.564269391172e-03
         12.40241200      -1.53827356e-14    -1.206718748810e-03     2.624975601579e-03     3.565547921333e-03
         13.64265320      -3.01987286e-15    -1.206962065111e-03     2.636661142239e-03     3.566985997185e-03
         14.88289440      -4.68255591e-15    -1.207208808599e-03     2.636326255318e-03     3.568582704823e-03
         16.12313560      -4.47763616e-16    -1.207448934980e-03     2.624581491824e-03     3.570302329036e-03
         17.36337680       2.42175865e-15    -1.207689532405e-03     2.602138470518e-03     3.572075931134e-03
         18.60361800       1.86346924e-15    -1.207905123906e-03     2.569635637149e-03     3.573841217539e-03
         19.84385921      -2.62910930e-15    -1.208102161563e-03     2.528060531036e-03     3.575537449462e-03
         21.08410041       3.10138306e-15    -1.208280087264e-03     2.478442072204e-03     3.577118479636e-03
         22.32434161       5.13803840e-15    -1.208432790629e-03     2.421919076387e-03     3.578529222717e-03
         23.56458281      -3.18102276e-15    -1.208562533721e-03     2.359665469733e-03     3.579737245427e-03
         24.80482401       3.47618300e-16    -1.208670191612e-03     2.292838418039e-03     3.580675117291e-03
         26.04506521       1.99233653e-14    -1.208749906334e-03     2.222650726099e-03     3.581308031827e-03
         27.28530641       9.31128893e-16    -1.208806617248e-03     2.150201897615e-03     3.581585311690e-03
         28.52554761      -9.60239040e-15    -1.208831467913e-03     2.076689078066e-03     3.581505112865e-03
         29.76578881       2.60555651e-14    -1.208834326638e-03     2.003158140519e-03     3.581037911489e-03
         31.00603001       5.95793987e-15    -1.208814721149e-03     1.930700494134e-03     3.580183467121e-03
         32.24627121       1.04317689e-14    -1.208777541135e-03     1.860251347151e-03     3.578930083834e-03
         33.48651241      -2.12338386e-15    -1.208718913860e-03     1.792717133304e-03     3.577289737986e-03
         34.72675361       1.98130573e-15    -1.208638484115e-03     1.728909157670e-03     3.575272214775e-03
         35.96699481      -1.44316959e-14    -1.208534669862e-03     1.669565098976e-03     3.572909572229e-03
         37.20723601      -5.66593926e-15    -1.208410844924e-03     1.615322103588e-03     3.570223368592e-03
         38.44747721       1.02549151e-15    -1.208270202481e-03     1.566803200083e-03     3.567228639823e-03
         39.68771841       6.31047545e-15    -1.208113931846e-03     1.524583129034e-03     3.563932494565e-03
         40.92795961       1.03897686e-14    -1.207940550819e-03     1.489104030749e-03     3.560389984752e-03
         42.16820081       1.29817229e-15    -1.207760237970e-03     1.460652983262e-03     3.556677937777e-03
         43.40844201       4.48564451e-16    -1.207576377705e-03     1.439400297073e-03     3.552879926707e-03
         44.64868321       5.08962620e-15    -1.207391311419e-03     1.425422256812e-03     3.549041415933e-03
         45.88892441       3.79052720e-15    -1.207201723325e-03     1.418755660322e-03     3.545204101108e-03
         47.12916561       8.27613732e-15    -1.207022132580e-03     1.419380604076e-03     3.541385723290e-03
         48.36940681      -7.72280646e-16    -1.206858456250e-03     1.427203224262e-03     3.537600496674e-03
         49.60964801      -1.16791585e-15    -1.206703910423e-03     1.442093139272e-03     3.533896735002e-03
         50.84988921       1.49786893e-14    -1.206548297421e-03     1.463832377111e-03     3.530330051518e-03
         52.09013041       7.51508812e-15    -1.206390884302e-03     1.492016364421e-03     3.526971995452e-03
