# Kick = [    1.000000000000e-05,     0.000000000000e+00,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
          0.00000000       8.57677054e-15    -1.205309640486e-03     1.944589406513e-03     3.560894497237e-03
          1.24024120      -6.27663644e-15    -1.103905000673e-03     1.944586480117e-03     3.560818688369e-03
          2.48048240       1.40150549e-14    -1.009095266063e-03     1.944577013752e-03     3.560643506480e-03
          3.72072360      -1.15382221e-14    -9.195906329868e-04     1.944559371029e-03     3.560395565811e-03
          4.96096480       5.71477799e-15    -8.352911024233e-04     1.944550023761e-03     3.560116974694e-03
          6.20120600      -1.89687984e-15    -7.586493538651e-04     1.944557918657e-03     3.559770834661e-03
          7.44144720      -1.02645148e-14    -6.908448187072e-04     1.944556067565e-03     3.559305274453e-03
          8.68168840       1.10165756e-14    -6.326176058352e-04     1.944544841380e-03     3.558731384437e-03
          9.92192960       6.45064234e-15    -5.856004034256e-04     1.944528455961e-03     3.558076807470e-03
         11.16217080      -2.11450671e-14    -5.503516895819e-04     1.944516903562e-03     3.557342723934e-03
         12.40241200       1.73337639e-14    -5.270327573427e-04     1.944505975876e-03     3.556539926392e-03
         13.64265320       8.93772566e-15    -5.158398954832e-04     1.944490402700e-03     3.555687293791e-03
         14.88289440       8.22098506e-15    -5.165958671998e-04     1.944476629418e-03     3.554804828284e-03
         16.12313560       2.61456426e-15    -5.287600106330e-04     1.944452113428e-03     3.553903664610e-03
         17.36337680      -2.91996119e-15    -5.516124954126e-04     1.944429642380e-03     3.553010698865e-03
         18.60361800       1.49245812e-14    -5.844994622451e-04     1.944389173909e-03     3.552136185281e-03
         19.84385921      -6.67806355e-15    -6.264260967214e-04     1.944344038980e-03     3.551307837670e-03
         21.08410041       6.92633731e-15    -6.763604885228e-04     1.944292950061e-03     3.550542586992e-03
         22.32434161       9.11234452e-15    -7.331538852423e-04     1.944234525946e-03     3.549857794763e-03
         23.56458281       8.63884213e-15    -7.956289399160e-04     1.944171362560e-03     3.549262595690e-03
         24.80482401       2.88538178e-15    -8.626262316555e-04     1.944102487283e-03     3.548769700213e-03
         26.04506521       4.37219557e-15    -9.329216792438e-04     1.944036294087e-03     3.548393105459e-03
         27.28530641       7.28295495e-16    -1.005407193884e-03     1.943981008286e-03     3.548139911646e-03
         28.52554761      -2.22740928e-15    -1.078901590836e-03     1.943931843271e-03     3.548019783636e-03
         29.76578881       4.50547157e-16    -1.152378108681e-03     1.943889041992e-03     3.548035431908e-03
         31.00603001       1.22068494e-14    -1.224742735256e-03     1.943838346501e-03     3.548195176557e-03
         32.24627121      -7.66443715e-15    -1.295018567404e-03     1.943776493482e-03     3.548493122034e-03
         33.48651241       6.44507005e-15    -1.362262468791e-03     1.943713167828e-03     3.548930173382e-03
         34.72675361      -9.02607417e-16    -1.425684983291e-03     1.943660586198e-03     3.549493279955e-03
         35.96699481       1.30586115e-14    -1.484619306164e-03     1.943624176493e-03     3.550179650533e-03
         37.20723601      -9.45729854e-15    -1.538455122572e-03     1.943591030397e-03     3.550981633980e-03
