# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 1e-05, 0]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
    4.150000     0.0000000000e+00     1.0786373793e+00     0.0000000000e+00
    4.200000     0.0000000000e+00     9.4528264038e-01     0.0000000000e+00
    4.250000     0.0000000000e+00     8.1821837538e-01     0.0000000000e+00
    4.300000     0.0000000000e+00     7.0732862555e-01     0.0000000000e+00
    4.350000     0.0000000000e+00     6.1874148734e-01     0.0000000000e+00
    4.400000     0.0000000000e+00     5.5439650751e-01     0.0000000000e+00
    4.450000     0.0000000000e+00     5.1241254902e-01     0.0000000000e+00
    4.500000     0.0000000000e+00     4.8808892121e-01    -0.0000000000e+00
    4.550000     0.0000000000e+00     4.7530788671e-01    -0.0000000000e+00
    4.600000     0.0000000000e+00     4.6805663557e-01    -0.0000000000e+00
    4.650000     0.0000000000e+00     4.6174981897e-01    -0.0000000000e+00
    4.700000     0.0000000000e+00     4.5404648593e-01    -0.0000000000e+00
    4.750000     0.0000000000e+00     4.4495723319e-01     0.0000000000e+00
    4.800000     0.0000000000e+00     4.3622799121e-01     0.0000000000e+00
    4.850000     0.0000000000e+00     4.3021090028e-01     0.0000000000e+00
    4.900000     0.0000000000e+00     4.2860413354e-01     0.0000000000e+00
    4.950000     0.0000000000e+00     4.3148849228e-01     0.0000000000e+00
    5.000000     0.0000000000e+00     4.3698541462e-01     0.0000000000e+00
    5.050000     0.0000000000e+00     4.4164396463e-01     0.0000000000e+00
    5.100000     0.0000000000e+00     4.4141173243e-01     0.0000000000e+00
    5.150000     0.0000000000e+00     4.3284712213e-01     0.0000000000e+00
    5.200000     0.0000000000e+00     4.1415827722e-01     0.0000000000e+00
    5.250000    -0.0000000000e+00     3.8573049349e-01     0.0000000000e+00
    5.300000    -0.0000000000e+00     3.4999672303e-01     0.0000000000e+00
    5.350000    -0.0000000000e+00     3.1073771020e-01     0.0000000000e+00
    5.400000    -0.0000000000e+00     2.7207995420e-01     0.0000000000e+00
    5.450000     0.0000000000e+00     2.3752742569e-01     0.0000000000e+00
    5.500000     0.0000000000e+00     2.0930472436e-01     0.0000000000e+00
    5.550000     0.0000000000e+00     1.8814476328e-01     0.0000000000e+00
    5.600000     0.0000000000e+00     1.7349061016e-01     0.0000000000e+00
    5.650000     0.0000000000e+00     1.6396137405e-01     0.0000000000e+00
    5.700000     0.0000000000e+00     1.5788902554e-01     0.0000000000e+00
    5.750000     0.0000000000e+00     1.5376340862e-01     0.0000000000e+00
    5.800000     0.0000000000e+00     1.5049643439e-01     0.0000000000e+00
    5.850000     0.0000000000e+00     1.4749521210e-01     0.0000000000e+00
    5.900000     0.0000000000e+00     1.4458853470e-01     0.0000000000e+00
    5.950000     0.0000000000e+00     1.4187145684e-01     0.0000000000e+00
    6.000000     0.0000000000e+00     1.3952644034e-01     0.0000000000e+00
    6.050000     0.0000000000e+00     1.3766301303e-01     0.0000000000e+00
    6.100000     0.0000000000e+00     1.3620421277e-01     0.0000000000e+00
    6.150000     0.0000000000e+00     1.3484018651e-01     0.0000000000e+00
    6.200000     0.0000000000e+00     1.3306132911e-01     0.0000000000e+00
    6.250000     0.0000000000e+00     1.3026836317e-01     0.0000000000e+00
    6.300000     0.0000000000e+00     1.2593450698e-01     0.0000000000e+00
    6.350000     0.0000000000e+00     1.1977364989e-01     0.0000000000e+00
    6.400000     0.0000000000e+00     1.1186005440e-01     0.0000000000e+00
    6.450000     0.0000000000e+00     1.0265670543e-01     0.0000000000e+00
    6.500000     0.0000000000e+00     9.2938248708e-02     0.0000000000e+00
    6.550000     0.0000000000e+00     8.3628850696e-02     0.0000000000e+00
    6.600000    -0.0000000000e+00     7.5601229074e-02     0.0000000000e+00
    6.650000    -0.0000000000e+00     6.9491490656e-02     0.0000000000e+00
    6.700000    -0.0000000000e+00     6.5574874474e-02     0.0000000000e+00
    6.750000    -0.0000000000e+00     6.3726692473e-02     0.0000000000e+00
    6.800000     0.0000000000e+00     6.3469563321e-02     0.0000000000e+00
    6.850000     0.0000000000e+00     6.4089093007e-02     0.0000000000e+00
    6.900000     0.0000000000e+00     6.4788290191e-02     0.0000000000e+00
