# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [1e-05, 0, 0]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
    4.050000     1.3289056201e+00     0.0000000000e+00     0.0000000000e+00
    4.100000     1.2171912269e+00     0.0000000000e+00     0.0000000000e+00
    4.150000     1.0855922305e+00     0.0000000000e+00     0.0000000000e+00
    4.200000     9.4771447245e-01     0.0000000000e+00     0.0000000000e+00
    4.250000     8.1671600317e-01     0.0000000000e+00     0.0000000000e+00
    4.300000     7.0314197660e-01     0.0000000000e+00     0.0000000000e+00
    4.350000     6.1353095065e-01     0.0000000000e+00     0.0000000000e+00
    4.400000     5.4993030793e-01     0.0000000000e+00     0.0000000000e+00
    4.450000     5.1025914307e-01     0.0000000000e+00     0.0000000000e+00
    4.500000     4.8934822805e-01     0.0000000000e+00     0.0000000000e+00
    4.550000     4.8042908702e-01     0.0000000000e+00     0.0000000000e+00
    4.600000     4.7678885344e-01     0.0000000000e+00     0.0000000000e+00
    4.650000     4.7325095571e-01    -0.0000000000e+00     0.0000000000e+00
    4.700000     4.6713209922e-01    -0.0000000000e+00     0.0000000000e+00
    4.750000     4.5842037719e-01    -0.0000000000e+00     0.0000000000e+00
    4.800000     4.4912812298e-01    -0.0000000000e+00     0.0000000000e+00
    4.850000     4.4203685744e-01    -0.0000000000e+00     0.0000000000e+00
    4.900000     4.3926544957e-01    -0.0000000000e+00     0.0000000000e+00
    4.950000     4.4116040652e-01    -0.0000000000e+00     0.0000000000e+00
    5.000000     4.4589189048e-01    -0.0000000000e+00     0.0000000000e+00
    5.050000     4.4988103399e-01    -0.0000000000e+00     0.0000000000e+00
    5.100000     4.4888312268e-01    -0.0000000000e+00     0.0000000000e+00
    5.150000     4.3932331737e-01     0.0000000000e+00     0.0000000000e+00
    5.200000     4.1941143035e-01     0.0000000000e+00     0.0000000000e+00
    5.250000     3.8966946722e-01     0.0000000000e+00     0.0000000000e+00
    5.300000     3.5273855970e-01     0.0000000000e+00     0.0000000000e+00
    5.350000     3.1259176419e-01     0.0000000000e+00     0.0000000000e+00
    5.400000     2.7346435165e-01     0.0000000000e+00     0.0000000000e+00
    5.450000     2.3886277822e-01     0.0000000000e+00     0.0000000000e+00
    5.500000     2.1092902974e-01     0.0000000000e+00     0.0000000000e+00
    5.550000     1.9027302348e-01     0.0000000000e+00     0.0000000000e+00
    5.600000     1.7621770204e-01     0.0000000000e+00     0.0000000000e+00
    5.650000     1.6729029704e-01    -0.0000000000e+00     0.0000000000e+00
