# Kick = [    0.000000000000e+00,     0.000000000000e+00,     1.000000000000e-05]
#            time            norm                    dmx                    dmy                    dmz
          0.00000000       8.57677054e-15    -1.205309640486e-03     1.944589406513e-03     3.560894497237e-03
          1.24024120      -9.13418981e-15    -1.205334360185e-03     1.944684030348e-03     3.662766574526e-03
          2.48048240      -3.67314653e-15    -1.205397710351e-03     1.944810625183e-03     3.758223637540e-03
          3.72072360       7.79440814e-15    -1.205520589775e-03     1.944982069549e-03     3.848635575380e-03
          4.96096480      -1.74966548e-14    -1.205707441758e-03     1.945230181023e-03     3.934278608729e-03
          6.20120600       1.56223103e-15    -1.205979267928e-03     1.945666577793e-03     4.013233309496e-03
          7.44144720      -1.05252323e-14    -1.206337794798e-03     1.946403288574e-03     4.084911022149e-03
          8.68168840      -1.81779559e-14    -1.206782974343e-03     1.947419065539e-03     4.148496536395e-03
          9.92192960      -4.93027139e-15    -1.207302811172e-03     1.948653369058e-03     4.202067683424e-03
         11.16217080      -1.10498103e-14    -1.207883611625e-03     1.950119737887e-03     4.245182868067e-03
         12.40241200       5.94713113e-15    -1.208520496992e-03     1.951788885849e-03     4.277421439969e-03
         13.64265320      -9.43114017e-15    -1.209197682846e-03     1.953627622625e-03     4.298450897786e-03
         14.88289440      -8.97818859e-15    -1.209902095920e-03     1.955606134908e-03     4.308343028013e-03
         16.12313560       1.21625461e-14    -1.210628579521e-03     1.957708167559e-03     4.307319841906e-03
         17.36337680      -1.60646748e-14    -1.211348689605e-03     1.959844468030e-03     4.295903567956e-03
         18.60361800       4.65454189e-15    -1.212045631133e-03     1.961948724145e-03     4.274250812883e-03
         19.84385921      -2.32938687e-15    -1.212699391951e-03     1.963959261335e-03     4.243046442411e-03
         21.08410041       3.19444763e-15    -1.213296569358e-03     1.965818625346e-03     4.203029525175e-03
         22.32434161      -2.43153474e-15    -1.213822311083e-03     1.967475721009e-03     4.155072515392e-03
         23.56458281      -7.60154500e-15    -1.214267804011e-03     1.968882417636e-03     4.100132231457e-03
         24.80482401       1.58753533e-14    -1.214619726011e-03     1.969990984685e-03     4.039069873006e-03
         26.04506521       7.32132063e-15    -1.214867410221e-03     1.970758443208e-03     3.972841346650e-03
         27.28530641       1.16378006e-15    -1.214999427335e-03     1.971153876060e-03     3.902385199270e-03
         28.52554761      -8.04485630e-15    -1.215014693177e-03     1.971153581035e-03     3.828819505812e-03
         29.76578881       9.20194081e-15    -1.214910088754e-03     1.970737176796e-03     3.753056467496e-03
         31.00603001      -5.27644126e-15    -1.214689561245e-03     1.969879177646e-03     3.676152391025e-03
         32.24627121       8.97708626e-15    -1.214351138030e-03     1.968580689801e-03     3.599010363120e-03
         33.48651241       3.60415800e-15    -1.213896095803e-03     1.966855475466e-03     3.522556990795e-03
         34.72675361       4.34406677e-15    -1.213330872804e-03     1.964728238504e-03     3.447683231908e-03
         35.96699481       6.35691359e-15    -1.212662433565e-03     1.962225521308e-03     3.375269947845e-03
         37.20723601       1.47168351e-14    -1.211894502251e-03     1.959366842605e-03     3.306110338180e-03
         38.44747721       4.50559913e-15    -1.211030046024e-03     1.956169538223e-03     3.240965359511e-03
         39.68771841       7.19241456e-15    -1.210070593707e-03     1.952662176249e-03     3.180547331669e-03
         40.92795961       9.30592850e-15    -1.209024390067e-03     1.948896725109e-03     3.125485694599e-03
         42.16820081       1.74602348e-15    -1.207918127224e-03     1.944947122915e-03     3.076382870339e-03
         43.40844201      -5.23495431e-15    -1.206789119787e-03     1.940889530632e-03     3.033778582148e-03
         44.64868321       8.77772292e-15    -1.205663586957e-03     1.936776131089e-03     2.998019818510e-03
         45.88892441       9.47706338e-15    -1.204539346041e-03     1.932644589310e-03     2.969340872912e-03
         47.12916561       6.25036748e-15    -1.203396435009e-03     1.928528188218e-03     2.948074957114e-03
         48.36940681       2.82655426e-15    -1.202238354868e-03     1.924452699128e-03     2.934513639971e-03
         49.60964801      -3.17332697e-15    -1.201117410274e-03     1.920467807336e-03     2.928726370723e-03
         50.84988921       6.21591825e-16    -1.200084292591e-03     1.916659103034e-03     2.930683493978e-03
         52.09013041      -1.65281526e-14    -1.199115715145e-03     1.913074078562e-03     2.940352708890e-03
         53.33037161      -7.40331719e-15    -1.198166596992e-03     1.909789627218e-03     2.957554286139e-03
         54.57061281       7.05076822e-15    -1.197253339342e-03     1.906897820717e-03     2.981937791861e-03
