Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0005        -329.5656    -332.6203       3.0547   323.7
0.0010        -329.5642    -332.5812       3.0170   319.7
0.0015        -329.5615    -332.5264       2.9649   314.2
0.0020        -329.5587    -332.4865       2.9278   310.3
0.0025        -329.5557    -332.4920       2.9362   311.2
0.0030        -329.5535    -332.5663       3.0128   319.3
0.0035        -329.5527    -332.7139       3.1612   335.0
0.0040        -329.5528    -332.9158       3.3630   356.4
0.0045        -329.5526    -333.1359       3.5832   379.7
0.0050        -329.5530    -333.3346       3.7816   400.8
0.0055        -329.5524    -333.4757       3.9232   415.8
0.0060        -329.5517    -333.5441       3.9924   423.1
0.0065        -329.5513    -333.5451       3.9938   423.2
0.0070        -329.5507    -333.4991       3.9484   418.4
0.0075        -329.5516    -333.4409       3.8893   412.2
0.0080        -329.5541    -333.4001       3.8460   407.6
0.0085        -329.5589    -333.3941       3.8352   406.4
0.0090        -329.5649    -333.4224       3.8576   408.8
0.0095        -329.5724    -333.4703       3.8978   413.1
0.0100        -329.5809    -333.5162       3.9353   417.0
0.0105        -329.5901    -333.5428       3.9528   418.9
0.0110        -329.5996    -333.5390       3.9395   417.5
0.0115        -329.6093    -333.5041       3.8948   412.8
0.0120        -329.6198    -333.4473       3.8275   405.6
0.0125        -329.6308    -333.3793       3.7485   397.3
0.0130        -329.6423    -333.3125       3.6701   389.0
0.0135        -329.6546    -333.2590       3.6045   382.0
0.0140        -329.6677    -333.2262       3.5585   377.1
0.0145        -329.6812    -333.2134       3.5321   374.3
0.0150        -329.6953    -333.2164       3.5211   373.2
0.0155        -329.7099    -333.2257       3.5158   372.6
0.0160        -329.7246    -333.2266       3.5020   371.1
0.0165        -329.7388    -333.2075       3.4687   367.6
0.0170        -329.7528    -333.1652       3.4124   361.6
0.0175        -329.7663    -333.1040       3.3377   353.7
0.0180        -329.7798    -333.0338       3.2540   344.8
0.0185        -329.7926    -332.9647       3.1721   336.2
0.0190        -329.8056    -332.9060       3.1004   328.6
0.0195        -329.8184    -332.8589       3.0405   322.2
0.0200        -329.8304    -332.8216       2.9912   317.0
0.0205        -329.8417    -332.7951       2.9534   313.0
0.0210        -329.8519    -332.7854       2.9334   310.9
0.0215        -329.8630    -332.8024       2.9394   311.5
0.0220        -329.8742    -332.8471       2.9729   315.1
0.0225        -329.8855    -332.9139       3.0284   320.9
0.0230        -329.8969    -332.9931       3.0962   328.1
0.0235        -329.9081    -333.0731       3.1650   335.4
0.0240        -329.9193    -333.1450       3.2257   341.8
0.0245        -329.9301    -333.2047       3.2746   347.0
0.0250        -329.9405    -333.2574       3.3169   351.5
0.0255        -329.9513    -333.3139       3.3626   356.4
0.0260        -329.9626    -333.3834       3.4208   362.5
0.0265        -329.9751    -333.4699       3.4947   370.4
0.0270        -329.9889    -333.5669       3.5779   379.2
0.0275        -330.0040    -333.6572       3.6532   387.2
0.0280        -330.0189    -333.7188       3.6999   392.1
0.0285        -330.0343    -333.7369       3.7026   392.4
0.0290        -330.0488    -333.7058       3.6570   387.6
0.0295        -330.0635    -333.6377       3.5742   378.8
0.0300        -330.0776    -333.5528       3.4752   368.3
0.0305        -330.0914    -333.4781       3.3867   358.9
0.0310        -330.1059    -333.4398       3.3339   353.3
0.0315        -330.1216    -333.4499       3.3283   352.7
0.0320        -330.1385    -333.5025       3.3640   356.5
0.0325        -330.1561    -333.5762       3.4200   362.4
0.0330        -330.1737    -333.6427       3.4691   367.6
0.0335        -330.1914    -333.6795       3.4880   369.7
0.0340        -330.2078    -333.6748       3.4669   367.4
0.0345        -330.2239    -333.6366       3.4126   361.7
0.0350        -330.2394    -333.5834       3.3440   354.4
0.0355        -330.2554    -333.5394       3.2840   348.0
0.0360        -330.2717    -333.5213       3.2496   344.4
0.0365        -330.2885    -333.5343       3.2458   344.0
0.0370        -330.3059    -333.5723       3.2664   346.2
0.0375        -330.3238    -333.6210       3.2972   349.4
0.0380        -330.3416    -333.6654       3.3238   352.2
0.0385        -330.3590    -333.6951       3.3361   353.5
0.0390        -330.3768    -333.7040       3.3273   352.6
0.0395        -330.3941    -333.6879       3.2938   349.1
0.0400        -330.4110    -333.6446       3.2336   342.7
0.0405        -330.4274    -333.5755       3.1481   333.6
0.0410        -330.4420    -333.4898       3.0478   323.0
0.0415        -330.4557    -333.4093       2.9536   313.0
0.0420        -330.4690    -333.3589       2.8899   306.3
0.0425        -330.4830    -333.3547       2.8718   304.3
0.0430        -330.4980    -333.3931       2.8951   306.8
0.0435        -330.5132    -333.4509       2.9376   311.3
0.0440        -330.5272    -333.4997       2.9725   315.0
0.0445        -330.5400    -333.5250       2.9850   316.3
0.0450        -330.5516    -333.5297       2.9781   315.6
0.0455        -330.5633    -333.5284       2.9650   314.2
0.0460        -330.5750    -333.5322       2.9572   313.4
0.0465        -330.5869    -333.5447       2.9579   313.5
0.0470        -330.5983    -333.5621       2.9638   314.1
0.0475        -330.6093    -333.5805       2.9712   314.9
0.0480        -330.6193    -333.6010       2.9818   316.0
0.0485        -330.6291    -333.6325       3.0035   318.3
0.0490        -330.6392    -333.6827       3.0435   322.5
0.0495        -330.6502    -333.7504       3.1002   328.6
0.0500        -330.6617    -333.8223       3.1606   335.0
0.0505        -330.6730    -333.8794       3.2063   339.8
0.0510        -330.6833    -333.9051       3.2218   341.4
0.0515        -330.6927    -333.8946       3.2019   339.3
0.0520        -330.7013    -333.8568       3.1555   334.4
0.0525        -330.7102    -333.8098       3.0996   328.5
0.0530        -330.7188    -333.7667       3.0479   323.0
0.0535        -330.7277    -333.7346       3.0068   318.7
0.0540        -330.7360    -333.7141       2.9780   315.6
0.0545        -330.7442    -333.7073       2.9631   314.0
0.0550        -330.7522    -333.7167       2.9644   314.2
0.0555        -330.7600    -333.7410       2.9810   315.9
0.0560        -330.7679    -333.7748       3.0069   318.7
0.0565        -330.7758    -333.8079       3.0321   321.3
0.0570        -330.7829    -333.8285       3.0456   322.8
0.0575        -330.7891    -333.8312       3.0420   322.4
0.0580        -330.7948    -333.8198       3.0250   320.6
0.0585        -330.8000    -333.8046       3.0046   318.4
0.0590        -330.8052    -333.7984       2.9932   317.2
0.0595        -330.8100    -333.8107       3.0007   318.0
0.0600        -330.8153    -333.8475       3.0322   321.3
0.0605        -330.8214    -333.9046       3.0831   326.7
0.0610        -330.8275    -333.9648       3.1373   332.5
0.0615        -330.8332    -334.0089       3.1757   336.6
0.0620        -330.8378    -334.0227       3.1849   337.5
0.0625        -330.8417    -334.0043       3.1627   335.2
0.0630        -330.8449    -333.9657       3.1208   330.7
0.0635        -330.8481    -333.9250       3.0769   326.1
0.0640        -330.8514    -333.8973       3.0459   322.8
0.0645        -330.8547    -333.8924       3.0377   321.9
0.0650        -330.8585    -333.9139       3.0554   323.8
0.0655        -330.8622    -333.9582       3.0960   328.1
0.0660        -330.8659    -334.0166       3.1508   333.9
0.0665        -330.8691    -334.0781       3.2090   340.1
0.0670        -330.8723    -334.1361       3.2639   345.9
0.0675        -330.8749    -334.1893       3.3144   351.2
0.0680        -330.8779    -334.2421       3.3643   356.5
0.0685        -330.8810    -334.2989       3.4179   362.2
0.0690        -330.8846    -334.3616       3.4770   368.5
0.0695        -330.8889    -334.4289       3.5400   375.2
0.0700        -330.8935    -334.4963       3.6028   381.8
0.0705        -330.8985    -334.5597       3.6612   388.0
0.0710        -330.9040    -334.6154       3.7114   393.3
0.0715        -330.9110    -334.6606       3.7496   397.4
0.0720        -330.9184    -334.6882       3.7698   399.5
0.0725        -330.9268    -334.6897       3.7629   398.8
0.0730        -330.9352    -334.6581       3.7229   394.5
0.0735        -330.9438    -334.5932       3.6494   386.8
0.0740        -330.9518    -334.5051       3.5533   376.6
0.0745        -330.9598    -334.4131       3.4533   366.0
0.0750        -330.9684    -334.3383       3.3699   357.1
0.0755        -330.9779    -334.2952       3.3173   351.6
0.0760        -330.9884    -334.2827       3.2943   349.1
0.0765        -330.9989    -334.2850       3.2861   348.3
0.0770        -331.0090    -334.2831       3.2741   347.0
0.0775        -331.0183    -334.2650       3.2467   344.1
0.0780        -331.0272    -334.2321       3.2049   339.7
0.0785        -331.0358    -334.1928       3.1570   334.6
0.0790        -331.0442    -334.1548       3.1106   329.7
0.0795        -331.0531    -334.1222       3.0690   325.2
0.0800        -331.0613    -334.0919       3.0306   321.2
0.0805        -331.0689    -334.0637       2.9948   317.4
0.0810        -331.0758    -334.0431       2.9673   314.5
0.0815        -331.0825    -334.0382       2.9557   313.2
0.0820        -331.0898    -334.0517       2.9618   313.9
0.0825        -331.0978    -334.0739       2.9760   315.4
0.0830        -331.1052    -334.0839       2.9787   315.7
0.0835        -331.1117    -334.0608       2.9491   312.5
0.0840        -331.1162    -333.9957       2.8795   305.2
0.0845        -331.1196    -333.9006       2.7810   294.7
0.0850        -331.1223    -333.7999       2.6776   283.8
0.0855        -331.1247    -333.7187       2.5940   274.9
0.0860        -331.1269    -333.6749       2.5480   270.0
0.0865        -331.1291    -333.6759       2.5468   269.9
0.0870        -331.1314    -333.7176       2.5862   274.1
0.0875        -331.1329    -333.7859       2.6530   281.2
0.0880        -331.1338    -333.8653       2.7315   289.5
0.0885        -331.1339    -333.9416       2.8077   297.6
0.0890        -331.1335    -334.0051       2.8717   304.3
0.0895        -331.1321    -334.0512       2.9191   309.4
0.0900        -331.1300    -334.0807       2.9507   312.7
0.0905        -331.1273    -334.0986       2.9713   314.9
0.0910        -331.1237    -334.1143       2.9906   316.9
0.0915        -331.1203    -334.1420       3.0217   320.2
0.0920        -331.1174    -334.1892       3.0717   325.5
0.0925        -331.1150    -334.2502       3.1352   332.3
0.0930        -331.1129    -334.3065       3.1936   338.4
0.0935        -331.1100    -334.3339       3.2239   341.7
0.0940        -331.1060    -334.3187       3.2127   340.5
0.0945        -331.1014    -334.2619       3.1604   334.9
0.0950        -331.0964    -334.1749       3.0785   326.3
0.0955        -331.0913    -334.0749       2.9836   316.2
0.0960        -331.0861    -333.9799       2.8938   306.7
0.0965        -331.0809    -333.9061       2.8252   299.4
0.0970        -331.0758    -333.8638       2.7879   295.5
0.0975        -331.0710    -333.8557       2.7848   295.1
0.0980        -331.0660    -333.8779       2.8119   298.0
0.0985        -331.0603    -333.9207       2.8604   303.1
0.0990        -331.0538    -333.9742       2.9203   309.5
0.0995        -331.0469    -334.0290       2.9821   316.0
0.1000        -331.0392    -334.0774       3.0382   322.0
0.1005        -331.0308    -334.1153       3.0845   326.9
0.1010        -331.0217    -334.1439       3.1222   330.9
0.1015        -331.0129    -334.1686       3.1557   334.4
0.1020        -331.0035    -334.1925       3.1889   338.0
0.1025        -330.9943    -334.2185       3.2242   341.7
0.1030        -330.9850    -334.2444       3.2595   345.4
0.1035        -330.9755    -334.2662       3.2907   348.7
0.1040        -330.9660    -334.2806       3.3146   351.3
0.1045        -330.9563    -334.2861       3.3298   352.9
0.1050        -330.9470    -334.2822       3.3352   353.5
0.1055        -330.9376    -334.2660       3.3284   352.7
0.1060        -330.9281    -334.2357       3.3075   350.5
0.1065        -330.9191    -334.1916       3.2725   346.8
0.1070        -330.9093    -334.1372       3.2279   342.1
0.1075        -330.8995    -334.0835       3.1840   337.4
0.1080        -330.8898    -334.0443       3.1545   334.3
0.1085        -330.8800    -334.0327       3.1527   334.1
0.1090        -330.8708    -334.0586       3.1878   337.8
0.1095        -330.8619    -334.1221       3.2601   345.5
0.1100        -330.8535    -334.2122       3.3587   355.9
0.1105        -330.8447    -334.3105       3.4658   367.3
0.1110        -330.8357    -334.4013       3.5655   377.9
0.1115        -330.8258    -334.4745       3.6487   386.7
0.1120        -330.8171    -334.5274       3.7104   393.2
0.1125        -330.8086    -334.5528       3.7442   396.8
0.1130        -330.8005    -334.5461       3.7457   397.0
0.1135        -330.7925    -334.5072       3.7147   393.7
0.1140        -330.7850    -334.4425       3.6576   387.6
0.1145        -330.7779    -334.3655       3.5876   380.2
0.1150        -330.7721    -334.2884       3.5163   372.7
0.1155        -330.7673    -334.2148       3.4476   365.4
0.1160        -330.7627    -334.1436       3.3809   358.3
0.1165        -330.7581    -334.0744       3.3163   351.5
0.1170        -330.7534    -334.0097       3.2563   345.1
0.1175        -330.7489    -333.9548       3.2059   339.7
0.1180        -330.7446    -333.9136       3.1690   335.8
0.1185        -330.7403    -333.8880       3.1477   333.6
0.1190        -330.7359    -333.8791       3.1432   333.1
0.1195        -330.7317    -333.8863       3.1546   334.3
0.1200        -330.7272    -333.9073       3.1801   337.0
0.1205        -330.7220    -333.9422       3.2202   341.3
0.1210        -330.7172    -333.9941       3.2769   347.3
0.1215        -330.7123    -334.0599       3.3476   354.8
0.1220        -330.7084    -334.1313       3.4230   362.8
0.1225        -330.7040    -334.1954       3.4914   370.0
0.1230        -330.6997    -334.2425       3.5428   375.5
0.1235        -330.6943    -334.2702       3.5759   379.0
0.1240        -330.6899    -334.2877       3.5978   381.3
0.1245        -330.6870    -334.2988       3.6118   382.8
0.1250        -330.6839    -334.2964       3.6125   382.8
0.1255        -330.6818    -334.2739       3.5921   380.7
0.1260        -330.6794    -334.2266       3.5472   375.9
0.1265        -330.6767    -334.1626       3.4859   369.4
0.1270        -330.6741    -334.0995       3.4254   363.0
0.1275        -330.6725    -334.0556       3.3831   358.5
0.1280        -330.6717    -334.0414       3.3697   357.1
0.1285        -330.6718    -334.0545       3.3828   358.5
0.1290        -330.6727    -334.0815       3.4088   361.3
0.1295        -330.6730    -334.1019       3.4288   363.4
0.1300        -330.6729    -334.1029       3.4300   363.5
0.1305        -330.6717    -334.0869       3.4152   361.9
0.1310        -330.6710    -334.0721       3.4011   360.4
0.1315        -330.6709    -334.0755       3.4045   360.8
0.1320        -330.6722    -334.1026       3.4304   363.5
0.1325        -330.6740    -334.1442       3.4702   367.8
0.1330        -330.6758    -334.1867       3.5109   372.1
0.1335        -330.6778    -334.2185       3.5407   375.2
0.1340        -330.6800    -334.2292       3.5492   376.1
0.1345        -330.6825    -334.2113       3.5289   374.0
0.1350        -330.6848    -334.1611       3.4762   368.4
0.1355        -330.6867    -334.0808       3.3942   359.7
0.1360        -330.6882    -333.9835       3.2953   349.2
0.1365        -330.6893    -333.8901       3.2008   339.2
0.1370        -330.6909    -333.8244       3.1335   332.1
0.1375        -330.6930    -333.8037       3.1107   329.7
0.1380        -330.6965    -333.8314       3.1350   332.2
0.1385        -330.7003    -333.8915       3.1912   338.2
0.1390        -330.7041    -333.9591       3.2550   345.0
0.1395        -330.7074    -334.0107       3.3033   350.1
0.1400        -330.7096    -334.0339       3.3243   352.3
0.1405        -330.7115    -334.0330       3.3215   352.0
0.1410        -330.7129    -334.0217       3.3088   350.7
0.1415        -330.7148    -334.0173       3.3025   350.0
0.1420        -330.7174    -334.0328       3.3154   351.4
0.1425        -330.7203    -334.0722       3.3518   355.2
0.1430        -330.7239    -334.1323       3.4085   361.2
0.1435        -330.7274    -334.2046       3.4772   368.5
0.1440        -330.7320    -334.2764       3.5444   375.6
0.1445        -330.7370    -334.3287       3.5917   380.6
0.1450        -330.7418    -334.3452       3.6034   381.9
0.1455        -330.7457    -334.3205       3.5749   378.9
0.1460        -330.7493    -334.2660       3.5167   372.7
0.1465        -330.7532    -334.2053       3.4521   365.8
0.1470        -330.7577    -334.1641       3.4064   361.0
0.1475        -330.7638    -334.1586       3.3948   359.8
0.1480        -330.7710    -334.1869       3.4158   362.0
0.1485        -330.7787    -334.2309       3.4523   365.9
0.1490        -330.7865    -334.2674       3.4809   368.9
0.1495        -330.7933    -334.2797       3.4865   369.5
0.1500        -330.7994    -334.2698       3.4704   367.8
0.1505        -330.8052    -334.2554       3.4502   365.6
0.1510        -330.8124    -334.2601       3.4477   365.4
0.1515        -330.8206    -334.2937       3.4731   368.1
0.1520        -330.8302    -334.3512       3.5209   373.1
0.1525        -330.8404    -334.4142       3.5739   378.7
0.1530        -330.8503    -334.4633       3.6130   382.9
0.1535        -330.8603    -334.4866       3.6263   384.3
0.1540        -330.8702    -334.4814       3.6112   382.7
0.1545        -330.8801    -334.4535       3.5735   378.7
0.1550        -330.8901    -334.4157       3.5257   373.6
0.1555        -330.9003    -334.3844       3.4841   369.2
0.1560        -330.9112    -334.3738       3.4626   367.0
0.1565        -330.9230    -334.3911       3.4682   367.5
0.1570        -330.9362    -334.4320       3.4958   370.5
0.1575        -330.9504    -334.4773       3.5269   373.8
0.1580        -330.9645    -334.5029       3.5383   375.0
0.1585        -330.9779    -334.4918       3.5138   372.4
0.1590        -330.9904    -334.4432       3.4528   365.9
0.1595        -331.0021    -334.3738       3.3717   357.3
0.1600        -331.0137    -334.3095       3.2957   349.3
0.1605        -331.0263    -334.2739       3.2476   344.2
0.1610        -331.0396    -334.2771       3.2376   343.1
0.1615        -331.0535    -334.3129       3.2593   345.4
0.1620        -331.0680    -334.3632       3.2952   349.2
0.1625        -331.0822    -334.4080       3.3258   352.5
0.1630        -331.0959    -334.4319       3.3360   353.5
0.1635        -331.1095    -334.4292       3.3197   351.8
0.1640        -331.1224    -334.4019       3.2795   347.6
0.1645        -331.1347    -334.3595       3.2247   341.8
0.1650        -331.1464    -334.3186       3.1722   336.2
0.1655        -331.1584    -334.2986       3.1402   332.8
0.1660        -331.1708    -334.3111       3.1402   332.8
0.1665        -331.1843    -334.3564       3.1721   336.2
0.1670        -331.1982    -334.4207       3.2225   341.5
0.1675        -331.2123    -334.4812       3.2689   346.4
0.1680        -331.2259    -334.5159       3.2900   348.7
0.1685        -331.2384    -334.5135       3.2750   347.1
0.1690        -331.2498    -334.4804       3.2307   342.4
0.1695        -331.2610    -334.4383       3.1773   336.7
0.1700        -331.2728    -334.4078       3.1350   332.2
0.1705        -331.2854    -334.3972       3.1118   329.8
0.1710        -331.2982    -334.3988       3.1006   328.6
0.1715        -331.3104    -334.3977       3.0873   327.2
0.1720        -331.3220    -334.3823       3.0603   324.3
0.1725        -331.3325    -334.3494       3.0170   319.7
0.1730        -331.3426    -334.3056       2.9631   314.0
0.1735        -331.3522    -334.2590       2.9068   308.1
0.1740        -331.3615    -334.2155       2.8540   302.5
0.1745        -331.3701    -334.1793       2.8093   297.7
0.1750        -331.3784    -334.1540       2.7756   294.1
0.1755        -331.3862    -334.1389       2.7527   291.7
0.1760        -331.3937    -334.1309       2.7372   290.1
0.1765        -331.4008    -334.1232       2.7223   288.5
0.1770        -331.4072    -334.1073       2.7001   286.1
0.1775        -331.4120    -334.0790       2.6670   282.6
0.1780        -331.4155    -334.0448       2.6293   278.6
0.1785        -331.4181    -334.0215       2.6034   275.9
0.1790        -331.4209    -334.0272       2.6063   276.2
0.1795        -331.4244    -334.0682       2.6438   280.2
0.1800        -331.4277    -334.1341       2.7064   286.8
0.1805        -331.4305    -334.2048       2.7744   294.0
0.1810        -331.4324    -334.2593       2.8268   299.6
0.1815        -331.4327    -334.2843       2.8515   302.2
0.1820        -331.4322    -334.2813       2.8491   301.9
0.1825        -331.4311    -334.2612       2.8301   299.9
0.1830        -331.4297    -334.2392       2.8095   297.7
0.1835        -331.4280    -334.2293       2.8013   296.9
0.1840        -331.4261    -334.2399       2.8138   298.2
0.1845        -331.4243    -334.2726       2.8483   301.9
0.1850        -331.4225    -334.3224       2.8999   307.3
0.1855        -331.4206    -334.3780       2.9574   313.4
0.1860        -331.4181    -334.4244       3.0062   318.6
0.1865        -331.4153    -334.4460       3.0307   321.2
0.1870        -331.4111    -334.4315       3.0203   320.1
0.1875        -331.4059    -334.3844       2.9785   315.7
0.1880        -331.3994    -334.3243       2.9249   310.0
0.1885        -331.3930    -334.2808       2.8878   306.0
0.1890        -331.3875    -334.2766       2.8891   306.2
0.1895        -331.3830    -334.3155       2.9325   310.8
0.1900        -331.3785    -334.3807       3.0022   318.2
0.1905        -331.3730    -334.4472       3.0742   325.8
0.1910        -331.3668    -334.4936       3.1269   331.4
0.1915        -331.3593    -334.5086       3.1493   333.8
0.1920        -331.3515    -334.4943       3.1428   333.1
0.1925        -331.3433    -334.4583       3.1150   330.1
0.1930        -331.3345    -334.4142       3.0796   326.4
0.1935        -331.3257    -334.3813       3.0556   323.8
0.1940        -331.3171    -334.3781       3.0610   324.4
0.1945        -331.3092    -334.4149       3.1056   329.1
0.1950        -331.3015    -334.4875       3.1860   337.6
0.1955        -331.2943    -334.5812       3.2868   348.3
0.1960        -331.2866    -334.6722       3.3856   358.8
0.1965        -331.2779    -334.7400       3.4622   366.9
0.1970        -331.2681    -334.7777       3.5096   371.9
0.1975        -331.2580    -334.7938       3.5358   374.7
0.1980        -331.2486    -334.8068       3.5582   377.1
0.1985        -331.2403    -334.8314       3.5911   380.6
0.1990        -331.2331    -334.8694       3.6363   385.4
0.1995        -331.2263    -334.9124       3.6861   390.6
0.2000        -331.2197    -334.9512       3.7316   395.5
0.2005        -331.2129    -334.9830       3.7701   399.5
0.2010        -331.2071    -335.0104       3.8033   403.1
0.2015        -331.2020    -335.0348       3.8328   406.2
0.2020        -331.1976    -335.0575       3.8599   409.1
0.2025        -331.1944    -335.0794       3.8849   411.7
0.2030        -331.1922    -335.0984       3.9061   414.0
0.2035        -331.1911    -335.1120       3.9209   415.5
0.2040        -331.1906    -335.1178       3.9272   416.2
0.2045        -331.1914    -335.1153       3.9239   415.8
0.2050        -331.1934    -335.1026       3.9093   414.3
0.2055        -331.1964    -335.0752       3.8788   411.1
0.2060        -331.2002    -335.0264       3.8262   405.5
0.2065        -331.2041    -334.9537       3.7495   397.4
0.2070        -331.2083    -334.8625       3.6542   387.3
0.2075        -331.2125    -334.7672       3.5547   376.7
0.2080        -331.2173    -334.6858       3.4686   367.6
0.2085        -331.2231    -334.6291       3.4060   361.0
0.2090        -331.2296    -334.5938       3.3642   356.5
0.2095        -331.2361    -334.5674       3.3314   353.0
0.2100        -331.2423    -334.5380       3.2957   349.3
0.2105        -331.2481    -334.4996       3.2516   344.6
0.2110        -331.2534    -334.4522       3.1987   339.0
0.2115        -331.2585    -334.3988       3.1403   332.8
0.2120        -331.2637    -334.3440       3.0803   326.4
0.2125        -331.2681    -334.2923       3.0242   320.5
0.2130        -331.2725    -334.2520       2.9795   315.8
0.2135        -331.2767    -334.2291       2.9524   312.9
0.2140        -331.2810    -334.2252       2.9442   312.0
0.2145        -331.2852    -334.2349       2.9497   312.6
0.2150        -331.2893    -334.2486       2.9593   313.6
0.2155        -331.2927    -334.2552       2.9624   314.0
0.2160        -331.2954    -334.2479       2.9524   312.9
0.2165        -331.2966    -334.2297       2.9330   310.8
0.2170        -331.2973    -334.2176       2.9203   309.5
0.2175        -331.2985    -334.2327       2.9342   311.0
0.2180        -331.3004    -334.2835       2.9832   316.1
0.2185        -331.3027    -334.3607       3.0580   324.1
0.2190        -331.3048    -334.4428       3.1380   332.6
0.2195        -331.3061    -334.5089       3.2028   339.4
0.2200        -331.3058    -334.5510       3.2452   343.9
0.2205        -331.3055    -334.5782       3.2727   346.8
0.2210        -331.3055    -334.6015       3.2960   349.3
0.2215        -331.3061    -334.6254       3.3194   351.8
0.2220        -331.3067    -334.6481       3.3414   354.1
0.2225        -331.3071    -334.6660       3.3588   356.0
0.2230        -331.3076    -334.6795       3.3718   357.3
0.2235        -331.3083    -334.6932       3.3849   358.7
0.2240        -331.3093    -334.7128       3.4035   360.7
0.2245        -331.3106    -334.7417       3.4311   363.6
0.2250        -331.3128    -334.7789       3.4661   367.3
0.2255        -331.3154    -334.8166       3.5012   371.1
0.2260        -331.3182    -334.8446       3.5264   373.7
0.2265        -331.3214    -334.8533       3.5319   374.3
0.2270        -331.3238    -334.8393       3.5154   372.6
0.2275        -331.3264    -334.8111       3.4847   369.3
0.2280        -331.3289    -334.7842       3.4553   366.2
0.2285        -331.3330    -334.7739       3.4408   364.7
0.2290        -331.3377    -334.7808       3.4431   364.9
0.2295        -331.3429    -334.7946       3.4517   365.8
0.2300        -331.3479    -334.8008       3.4529   365.9
0.2305        -331.3525    -334.7924       3.4399   364.5
0.2310        -331.3573    -334.7710       3.4137   361.8
0.2315        -331.3624    -334.7390       3.3766   357.8
0.2320        -331.3675    -334.6971       3.3295   352.9
0.2325        -331.3727    -334.6462       3.2735   346.9
0.2330        -331.3774    -334.5890       3.2116   340.4
0.2335        -331.3815    -334.5332       3.1517   334.0
0.2340        -331.3860    -334.4895       3.1035   328.9
0.2345        -331.3905    -334.4629       3.0724   325.6
0.2350        -331.3957    -334.4519       3.0563   323.9
0.2355        -331.4008    -334.4451       3.0443   322.6
0.2360        -331.4054    -334.4263       3.0209   320.2
0.2365        -331.4088    -334.3850       2.9762   315.4
0.2370        -331.4109    -334.3249       2.9141   308.8
0.2375        -331.4115    -334.2658       2.8542   302.5
0.2380        -331.4133    -334.2353       2.8221   299.1
0.2385        -331.4159    -334.2435       2.8276   299.7
0.2390        -331.4190    -334.2776       2.8586   302.9
0.2395        -331.4207    -334.3138       2.8931   306.6
0.2400        -331.4214    -334.3371       2.9157   309.0
0.2405        -331.4206    -334.3454       2.9248   310.0
0.2410        -331.4201    -334.3497       2.9295   310.5
0.2415        -331.4193    -334.3580       2.9387   311.4
0.2420        -331.4187    -334.3736       2.9549   313.2
0.2425        -331.4179    -334.3921       2.9742   315.2
0.2430        -331.4167    -334.4054       2.9887   316.7
0.2435        -331.4147    -334.4062       2.9915   317.0
0.2440        -331.4122    -334.3929       2.9806   315.9
0.2445        -331.4094    -334.3678       2.9585   313.5
0.2450        -331.4060    -334.3367       2.9307   310.6
0.2455        -331.4025    -334.3075       2.9050   307.9
0.2460        -331.3986    -334.2876       2.8890   306.2
0.2465        -331.3943    -334.2840       2.8897   306.2
0.2470        -331.3899    -334.3029       2.9130   308.7
0.2475        -331.3853    -334.3463       2.9610   313.8
0.2480        -331.3811    -334.4094       3.0282   320.9
0.2485        -331.3772    -334.4754       3.0982   328.3
0.2490        -331.3721    -334.5192       3.1471   333.5
0.2495        -331.3658    -334.5256       3.1598   334.9
0.2500        -331.3585    -334.4968       3.1383   332.6
0.2505        -331.3510    -334.4496       3.0986   328.4
0.2510        -331.3436    -334.4043       3.0607   324.4
0.2515        -331.3364    -334.3778       3.0415   322.3
0.2520        -331.3297    -334.3785       3.0488   323.1
0.2525        -331.3231    -334.4028       3.0797   326.4
0.2530        -331.3165    -334.4409       3.1245   331.1
0.2535        -331.3097    -334.4793       3.1697   335.9
0.2540        -331.3024    -334.5035       3.2011   339.2
0.2545        -331.2951    -334.5021       3.2070   339.9
0.2550        -331.2874    -334.4667       3.1793   336.9
0.2555        -331.2788    -334.3949       3.1161   330.2
0.2560        -331.2689    -334.2987       3.0297   321.1
0.2565        -331.2585    -334.2081       2.9496   312.6
0.2570        -331.2486    -334.1612       2.9126   308.7
0.2575        -331.2405    -334.1840       2.9435   311.9
0.2580        -331.2340    -334.2705       3.0364   321.8
0.2585        -331.2278    -334.3809       3.1531   334.2
0.2590        -331.2200    -334.4634       3.2434   343.7
0.2595        -331.2097    -334.4819       3.2722   346.8
0.2600        -331.1977    -334.4337       3.2360   342.9
0.2605        -331.1844    -334.3473       3.1629   335.2
0.2610        -331.1718    -334.2680       3.0962   328.1
0.2615        -331.1607    -334.2347       3.0740   325.8
0.2620        -331.1515    -334.2599       3.1084   329.4
0.2625        -331.1425    -334.3254       3.1829   337.3
0.2630        -331.1329    -334.4017       3.2687   346.4
0.2635        -331.1226    -334.4614       3.3388   353.8
0.2640        -331.1112    -334.4862       3.3750   357.7
0.2645        -331.0996    -334.4713       3.3716   357.3
0.2650        -331.0882    -334.4204       3.3322   353.1
0.2655        -331.0766    -334.3403       3.2637   345.9
0.2660        -331.0644    -334.2442       3.1798   337.0
0.2665        -331.0522    -334.1562       3.1040   328.9
0.2670        -331.0403    -334.1044       3.0641   324.7
0.2675        -331.0296    -334.1118       3.0822   326.6
0.2680        -331.0204    -334.1818       3.1614   335.0
0.2685        -331.0119    -334.2900       3.2781   347.4
